"","HUD.ID.Number","Project.Name","address","Project.City","Project.State","Project.ZIP.Code","County","Total.Number.of.Units","Total.Low.Income.Units","Compliance.Monitoring.Status","borough","block","lot","cd","bct2020","bctcb2020","ct2010","cb2010","schooldist","council","zipcode","firecomp","policeprct","healthcenterdistrict","healtharea","sanitboro","sanitdistrict","sanitsub","zonedist1","zonedist2","zonedist3","zonedist4","overlay1","overlay2","spdist1","spdist2","spdist3","ltdheight","splitzone","bldgclass","landuse","easements","ownertype","ownername","lotarea","bldgarea","comarea","resarea","officearea","retailarea","garagearea","strgearea","factryarea","otherarea","areasource","numbldgs","numfloors","unitsres","unitstotal","lotfront","lotdepth","bldgfront","bldgdepth","ext","proxcode","irrlotcode","lottype","bsmtcode","assessland","assesstot","exempttot","yearbuilt","yearalter1","yearalter2","histdist","landmark","builtfar","residfar","commfar","facilfar","borocode","bbl","condono","tract2010","xcoord","ycoord","zonemap","zmcode","sanborn","taxmap","edesignum","appbbl","appdate","plutomapid","firm07_flag","pfirm15_flag","version","dcpedited","latitude","longitude","notes"
"21","NYA20172018","GENESIS HOMES REFINANCE 2015","330 hinsdale st","KINGS","NY",11207,"Kings County",150,150,"Not Indicated","BK",3783,7501,305,3113400,31134003002,1134,3002,19,42,11207,"E231",75,33,5900,3,5,"4C","R6","","","","C2-3","","","",NA,"","N","RM",4,0,"X","UNAVAILABLE OWNER",100000,161576,23448,138128,23448,0,0,0,0,0,2,1,4,150,151,500,200,200,500,"",1,"N",7,2,675002,12348453,12348453,1991,0,0,"","",1.62,2.43,0,4.8,3,3037837501,4314,1134,1012066,182044,"17d","","316 023",31207,"",3037830001,"05/04/2018",1,NA,NA,"25v4","",40.6663017,-73.8997336,NA
"22","NYA20181017","COMUNILIFE WOODHULL","179 throop ave","KINGS","NY",11206,"Kings County",89,89,"Not Indicated","BK",1723,2,303,3028501,30285011000,285.01,1001,14,36,11206,"E230",79,34,1720,3,3,"1B","R6","","","","","","","",NA,"","N","I9",8,0,"C","NYC HEALTH AND HOSPITALS CORPORATION",13225,47019,47019,0,0,0,0,0,0,47019,2,1,6,89,89,115,115,100.33,107,"N",1,"N",0,2,208350,3583350,3583350,2017,2016,0,"","",3.56,2.43,0,4.8,3,3017230002,NA,28501,999869,193772,"13b","","303 060",30608,"",3017230001,"04/06/2017",1,NA,NA,"25v4","t",40.6985223,-73.9436721,NA
"23","NYA20200001","OUR LADY OF LOURDES","1875 broadway","BROOKLYN","NY",11207,"Kings County",76,65,"Not Indicated","BK",3468,65,304,3040500,30405001002,405,1007,32,37,11207,"E233",83,34,3810,3,4,"3A","R6","","","","C2-3","","","",NA,"","N","D7",4,0,"X","OUR LADY OF LOURDES APARTMENTS LLC",7270,36809,4928,31881,0,0,0,0,0,4928,2,1,8,18,19,96,75.73,36.1,59.5,"",1,"N",3,0,261900,3232350,3232350,2017,0,0,"","",5.06,2.43,0,4.8,3,3034680065,NA,405,1010229,187329,"17c","","305 073",31109,"",3034680050,"11/19/2015",1,NA,NA,"25v4","",40.6808134,-73.9063349,NA
"24","NYB20000010","420 STOCKHOLM STREET","420 stockholm st","BROOKLYN","NY",11237,"Kings County",35,35,"Not Indicated","BK",3261,20,304,3044300,30443004000,443,4000,32,37,11237,"L124",83,34,3300,3,4,"2B","R6","","","","","","","",NA,"","N","C1",2,0,"X","420 STOCKHOLM STREETASSOCIATES LP",10500,28800,0,28800,0,0,0,0,0,0,2,1,4,35,35,105,100,105,90,"N",0,"N",3,0,236250,945450,945450,1931,2000,0,"","",2.74,2.43,0,4.8,3,3032610020,NA,443,1007479,196409,"13b","","309 056",31104,"",NA,"",1,NA,NA,"25v4","",40.7057436,-73.9162185,NA
"25","NYB20110810","GENESIS NEIGHBORHOOD PLAZA II (HELP USA)","350 snediker ave","BROOKLYN","NY",11207,"Kings County",98,97,"Not Indicated","BK",3782,140,305,3113400,31134003001,1134,3001,19,42,11207,"E231",75,33,5900,3,5,"4C","R6","","","","C2-3","","","",NA,"","N","D1",3,0,"X","DUMONT ASSOC LIMITED",23960,87081,11000,76081,0,0,11000,0,0,0,2,1,5,98,98,100,239,0,0,"",1,"N",3,2,269550,2032650,2032650,2010,0,0,"","",3.63,2.43,0,4.8,3,3037820140,NA,1134,1011837,182133,"17d","","316 022",31207,"",3037820019,"01/04/2001",1,NA,NA,"25v4","",40.6665467,-73.9005587,NA
"26","NYB20148090","WILLOUGHBY COURT APARTMENTS","721 willoughby ave","BROOKLYN","NY",11206,"Kings County",267,249,"Not Indicated","BK",1588,1,303,3028300,30283002000,283,2000,16,36,11206,"E217",81,36,1900,3,3,"1B","R7A","","","","C2-4","","","",NA,"","N","D6",4,0,"X","HP WILLOUGHBY HOUSING CORPORATION",130000,290715,5715,285000,0,5715,0,0,0,0,2,3,4,267,272,650,200,50,22.42,"N",0,"N",5,0,468000,17301600,17301600,1976,0,0,"","",2.24,4,0,4,3,3015880001,NA,283,1001115,192634,"13b","","303 066",30604,"E-779",NA,"",1,NA,NA,"25v4","",40.6953965,-73.9391814,NA
"27","NYB20200014","HOPE GARDENS","415 evergreen ave","BROOKLYN","NY",11221,"Kings County",949,945,"Not Indicated","BK",3332,1,304,3041700,30417003001,417,3001,32,37,11221,"E277",83,34,3400,3,4,"2A","R6","","","","","","","",NA,"","N","C1",2,0,"O","BUSHWICK GARDENS",24954,24760,0,24760,0,0,0,0,0,0,2,2,3,24,24,202.75,185.58,130,41,"N",0,"Y",3,0,280800,1041300,1041300,1985,0,0,"","",0.99,2.43,0,4.8,3,3033320001,NA,417,1006552,191599,"17a","","309 015",31106,"",NA,"",1,NA,NA,"25v4","",40.6925436,-73.9195779,NA
"28","NYB20221012","CASA PASIVA","75 linden st","BROOKLYN","NY",11221,"Kings County",146,143,"Not Indicated","BK",3322,26,304,3039900,30399003002,399,3002,32,37,11221,"E277",83,34,3400,3,4,"2A","R6","","","","","","","",NA,"","N","C6",2,0,"X","CASA PASIVA HOUSING DEVELOPMENT FUND COR PORATION",3641,11251,0,11251,0,0,0,0,0,0,2,1,4,12,12,32.37,112.5,32,87,"N",3,"N",5,1,49050,522000,522000,1910,1993,0,"","",3.09,2.43,0,4.8,3,3033220026,NA,399,1006183,191493,"17a","","305 041",31105,"",NA,"",1,NA,NA,"25v4","",40.6922536,-73.9209089,NA
"29","NYC19900012","ROUND I (NEXT WAVE)","20 maujer st","BROOKLYN","NY",11206,"Kings County",50,49,"Not Indicated","BK",2791,14,301,3051300,30513002002,513,2001,14,34,11206,"E216",90,30,700,3,1,"2A","R6B","","","","","","","",NA,"","N","C4",2,0,"X","BROOKLYN NEIGHBORHOOD HDFC, INC.",5000,17800,0,17800,0,0,0,0,0,0,2,1,4,16,16,50,100,50,89,"N",3,"N",5,2,180000,722700,722700,1920,0,0,"","",3.56,2,0,2,3,3027910014,NA,513,998110,197987,"13b","","303 037",30906,"",NA,"",1,NA,NA,"25v4","",40.7100944,-73.950007,NA
"30","NYC19910012","ROUND II (GROVELAND GARDENS)","299 jefferson st","BROOKLYN","NY",11237,"Kings County",44,43,"Not Indicated","BK",3166,50,304,3042700,30427003000,427,3000,32,34,11237,"L124",83,34,2200,3,4,"1B","R6","","","","","","","",NA,"","N","C1",2,0,"X","IRVING STOCKHOLM HOUSING DEVELOPMENT FUN D COMPANY,",2500,6500,0,6500,0,0,0,0,0,0,2,1,4,8,8,25,100,25,65,"N",0,"N",5,0,4950,488250,488250,1931,1992,0,"","",2.6,2.43,0,4.8,3,3031660050,NA,427,1004620,195915,"13b","","309 036",31102,"",NA,"",1,NA,NA,"25v4","",40.7043947,-73.9265317,NA
