"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Total Number of Units","Total Low-Income Units","Compliance Monitoring Status"
"NYA20040005","1615 ST JOHNS PL","1615 ST JOHNS PL","BROOKLYN","NY","11233","Kings County","35","34","Not Indicated"
"NYA20040045","DEKALB AVENUE APTS","910 DEKALB AVE","BROOKLYN","NY","11221","Kings County","64","63","Not Indicated"
"NYA20040355","R A C GARDENS","71 VISITATION PL","BROOKLYN","NY","11231","Kings County","60","60","Not Indicated"
"NYA20050133","SEA PARK NORTH","2828 W 28TH ST","BROOKLYN","NY","11224","Kings County","116","116","Not Indicated"
"NYA20050330","RHEINGOLD GARDENS","555 BUSHWICK AVE","BROOKLYN","NY","11206","Kings County","93","93","Not Indicated"
"NYA20060165","QUINCY SENIOR RESIDENCE","625 QUINCY ST","BROOKLYN","NY","11221","Kings County","94","94","Not Indicated"
"NYA20060180","ST LEONARD'S FAMILY HOUSING","52 WILSON AVE","BROOKLYN","NY","11237","Kings County","85","84","Not Indicated"
"NYA20060275","GEORGIA'S PLACE","691 PROSPECT PL","BROOKLYN","NY","11216","Kings County","48","48","Not Indicated"
"NYA20060310","RENAISSANCE ESTATES","1000 BUSHWICK AVE","BROOKLYN","NY","11221","Kings County","62","62","Not Indicated"
"NYA20070120","MELROSE APTS","63 CENTRAL AVE","BROOKLYN","NY","11206","Kings County","38","38","Not Indicated"
"NYA20070135","MYRTLE AVE APTS","854 MYRTLE AVE","BROOKLYN","NY","11206","Kings County","33","33","Not Indicated"
"NYA20070230","160 S SECOND ST","160 S SECOND ST","BROOKLYN","NY","11211","Kings County","25","25","Not Indicated"
"NYA20080020","HIMROD STREET APTS","165 HIMROD ST","BROOKLYN","NY","11221","Kings County","34","34","Not Indicated"
"NYA20080030","RUGGED CROSS APTS","12 PATCHEN AVE","BROOKLYN","NY","11221","Kings County","50","50","Not Indicated"
"NYA20080155","OCEANGATE","2955 W 29TH ST","BROOKLYN","NY","11224","Kings County","542","542","Not Indicated"
